filename,bl,fl,flag,ic,mal,none,oafl,oahs,pl,vsit
bl10_00000,1,0,0,0,0,0,0,0,0,0
bl10_00001,1,0,0,0,0,0,0,0,0,0
bl10_00002,1,0,0,0,0,0,0,0,0,0
bl10_00003,1,0,0,0,0,0,0,0,0,0
bl10_00004,1,0,0,0,0,0,0,0,0,0
bl10_00005,1,0,0,0,0,0,0,0,0,0
bl10_00006,1,0,0,0,0,0,0,0,0,0
bl10_00007,1,0,0,0,0,0,0,0,0,0
bl10_00008,1,0,0,0,0,0,0,0,0,0
bl10_00009,1,0,0,0,0,0,0,0,0,0
bl10_00010,1,0,0,0,0,0,0,0,0,0
bl10_00011,1,0,0,0,0,0,0,0,0,0
bl10_00012,1,0,0,0,0,0,0,0,0,0
bl10_00013,1,0,0,0,0,0,0,0,0,0
bl10_00014,1,0,0,0,0,0,0,0,0,0
bl10_00015,1,0,0,0,0,0,0,0,0,0
bl10_00016,1,0,0,0,0,0,0,0,0,0
bl10_00017,1,0,0,0,0,0,0,0,0,0
bl10_00018,1,0,0,0,0,0,0,0,0,0
bl10_00019,1,0,0,0,0,0,0,0,0,0
bl10_00020,1,0,0,0,0,0,0,0,0,0
bl10_00021,1,0,0,0,0,0,0,0,0,0
bl10_00022,1,0,0,0,0,0,0,0,0,0
bl10_00023,1,0,0,0,0,0,0,0,0,0
bl10_00024,1,0,0,0,0,0,0,0,0,0
bl10_00025,1,0,0,0,0,0,0,0,0,0
bl10_00026,1,0,0,0,0,0,0,0,0,0
bl10_00027,1,0,0,0,0,0,0,0,0,0
bl10_00028,1,0,0,0,0,0,0,0,0,0
bl10_00029,1,0,0,0,0,0,0,0,0,0
bl10_00030,1,0,0,0,0,0,0,0,0,0
bl10_00031,1,0,0,0,0,0,0,0,0,0
bl10_00032,1,0,0,0,0,0,0,0,0,0
bl10_00033,1,0,0,0,0,0,0,0,0,0
bl10_00034,1,0,0,0,0,0,0,0,0,0
bl10_00035,1,0,0,0,0,0,0,0,0,0
bl10_00036,1,0,0,0,0,0,0,0,0,0
bl10_00037,1,0,0,0,0,0,0,0,0,0
bl10_00038,1,0,0,0,0,0,0,0,0,0
bl10_00039,1,0,0,0,0,0,0,0,0,0
bl10_00040,1,0,0,0,0,0,0,0,0,0
bl10_00041,1,0,0,0,0,0,0,0,0,0
bl10_00042,1,0,0,0,0,0,0,0,0,0
bl10_00043,1,0,0,0,0,0,0,0,0,0
bl10_00044,1,0,0,0,0,0,0,0,0,0
bl10_00045,1,0,0,0,0,0,0,0,0,0
bl10_00046,1,0,0,0,0,0,0,0,0,0
bl10_00047,1,0,0,0,0,0,0,0,0,0
bl10_00048,1,0,0,0,0,0,0,0,0,0
bl10_00049,1,0,0,0,0,0,0,0,0,0
bl10_00050,1,0,0,0,0,0,0,0,0,0
bl10_00051,1,0,0,0,0,0,0,0,0,0
bl10_00052,1,0,0,0,0,0,0,0,0,0
bl10_00053,1,0,0,0,0,0,0,0,0,0
bl10_00054,1,0,0,0,0,0,0,0,0,0
bl10_00055,1,0,0,0,0,0,0,0,0,0
bl10_00056,1,0,0,0,0,0,0,0,0,0
bl10_00057,1,0,0,0,0,0,0,0,0,0
bl10_00058,1,0,0,0,0,0,0,0,0,0
bl10_00059,0,0,0,0,0,1,0,0,0,0
bl10_00060,0,0,0,0,0,1,0,0,0,0
bl10_00061,0,0,0,0,0,1,0,0,0,0
bl10_00062,0,0,0,0,0,1,0,0,0,0
bl10_00063,0,0,0,0,0,1,0,0,0,0
bl10_00064,0,0,0,0,0,1,0,0,0,0
bl10_00065,0,0,0,0,0,1,0,0,0,0
bl10_00066,0,0,0,0,0,1,0,0,0,0
bl10_00067,0,0,0,0,0,1,0,0,0,0
bl10_00068,0,0,0,0,0,1,0,0,0,0
bl10_00069,0,0,0,0,0,1,0,0,0,0
bl10_00070,0,0,0,0,0,1,0,0,0,0
bl10_00071,0,0,0,0,0,1,0,0,0,0
bl10_00072,0,0,0,0,0,1,0,0,0,0
bl10_00073,0,0,0,0,0,1,0,0,0,0
bl10_00074,0,0,0,0,0,1,0,0,0,0
bl10_00075,0,0,0,0,0,1,0,0,0,0
bl10_00076,0,0,0,0,0,1,0,0,0,0
bl10_00077,0,0,0,0,0,1,0,0,0,0
bl11_00000,0,0,0,0,0,1,0,0,0,0
bl11_00001,0,0,0,0,0,1,0,0,0,0
bl11_00002,0,0,0,0,0,1,0,0,0,0
bl11_00003,0,0,0,0,0,1,0,0,0,0
bl11_00004,0,0,0,0,0,1,0,0,0,0
bl11_00005,0,0,0,0,0,1,0,0,0,0
bl11_00006,0,0,0,0,0,1,0,0,0,0
bl11_00007,0,0,0,0,0,1,0,0,0,0
bl11_00008,0,0,0,0,0,1,0,0,0,0
bl11_00009,0,0,0,0,0,1,0,0,0,0
bl11_00010,0,0,0,0,0,1,0,0,0,0
